0,0,38610
1,1,38610
2,2,38610
3,3,38609
4,4,38609
5,5,38609
6,6,38609
7,7,38609
8,8,38609
9,9,38609
10,10,38609
11,11,38609
12,12,38609
13,13,38609
14,14,38609
15,15,38609
10,16,38609
16,17,38609
17,18,38609
18,19,38609
19,20,38609
20,21,38608
21,22,38608
22,23,38608
23,24,38608
24,25,38608
25,26,38608
26,27,38608
27,28,38608
5,29,38608
28,30,38608
29,31,38608
30,32,38608
31,33,38608
32,34,38608
33,35,38608
34,36,38608
35,37,38608
36,38,38608
37,39,38608
38,40,38608
18,41,38608
39,42,38608
40,43,38608
41,44,38608
42,45,38608
43,46,38608
44,47,38608
45,48,38608
46,49,38608
5,50,38608
47,51,38608
48,52,38608
49,53,38608
50,54,38608
51,55,38608
39,56,38608
52,57,38608
53,58,38608
25,59,38608
54,60,38608
55,61,38608
56,62,38608
44,63,38608
57,64,38608
58,65,38608
59,66,38608
60,67,38608
61,68,38608
62,69,38608
54,70,38608
63,71,38608
54,72,38608
58,73,38608
64,74,38608
65,75,38608
66,76,38608
67,77,38608
32,78,38608
66,79,38608
68,80,38608
69,81,38608
42,82,38608
22,83,38608
66,84,38608
70,85,38608
71,86,38608
72,87,38608
73,88,38608
74,89,38608
41,90,38608
5,91,38608
75,92,38608
76,93,38608
77,94,38608
72,95,38608
78,96,38607
79,97,38607
80,98,38607
81,99,38607
82,100,38607
83,101,38607
84,102,38607
85,103,38607
86,104,38607
87,105,38607
88,106,38607
89,107,38607
90,108,38607
91,109,38607
92,110,38607
91,111,38607
93,112,38607
94,113,38607
95,114,38607
96,115,38607
97,116,38607
98,117,38607
99,118,38607
100,119,38607
101,120,38607
102,121,38607
79,122,38607
86,123,38607
103,124,38607
104,125,38607
105,126,38607
106,127,38607
107,128,38607
91,129,38607
107,130,38607
80,131,38607
108,132,38607
109,133,38607
110,134,38607
111,135,38607
112,136,38607
113,137,38607
114,138,38607
115,139,38607
116,140,38607
86,141,38607
117,142,38607
118,143,38607
119,144,38607
120,145,38607
80,146,38607
121,147,38607
122,148,38607
123,149,38607
96,150,38607
124,151,38607
41,152,38607
125,153,38607
126,154,38607
127,155,38607
106,156,38607
128,157,38607
103,158,38607
129,159,38607
120,160,38607
130,161,38607
69,162,38607
131,163,38607
79,164,38607
132,165,38607
133,166,38607
42,167,38607
134,168,38607
135,169,38607
136,170,38607
137,171,38607
138,172,38607
139,173,38607
120,174,38607
140,175,38607
101,176,38607
134,177,38607
141,178,38607
142,179,38607
143,180,38607
144,181,38607
145,182,38607
146,183,38607
147,184,38606
148,185,38606
149,186,38606
150,187,38606
151,188,38606
152,189,38606
153,190,38606
154,191,38606
155,192,38606
156,193,38606
157,194,38606
158,195,38606
159,196,38606
160,197,38606
161,198,38606
162,199,38606
163,200,38606
164,201,38606
165,49,38606
166,202,38606
167,49,38606
168,203,38606
169,204,38606
170,205,38606
171,206,38606
172,207,38606
173,208,38606
70,209,38606
174,210,38606
175,211,38606
176,212,38606
177,213,38606
